Kuznetsova, 142.234436
Tormo, 139.362500
Schmiedlova, 142.884726
Diatchenko, 146.179487
Gasparyan, 149.682836
Jovanovski, 143.400646
Razzano, 147.285956
Marino, 152.887789
Vandeweghe, 157.075421
Hsieh, 132.664430
Georges, 146.088235
Stosur, 154.417647
Golubic, 135.638298
Royg, 147.125000
Garcia, 156.909305
Putintseva, 138.432468
Beck, 134.856459
Begu, 152.610738
Muguruza, 153.630009
Tsonga, 175.130934
Andujar, 165.669980
Garcia-Lopez, 165.312162
Krajicek, 170.958333
Ramos-Vinolas, 161.105263
Bhambri, 166.940541
Cecchinato, 169.072398
Gimeno-Traver, 166.837587
Nava, 167.405405
Ito, 164.756497
Ebden, 166.299230
Mannarino, 159.608594
Kudla, 166.232168
Herbert, 170.955665
Basic, 177.087912
Smyczek, 164.427642
Hsieh, 136.148936
Duque-Mariño, nan
Tomljanovic, 153.275081
Hantuchova, 146.308411
Rybarikova, 148.603651
Stephens, 151.795754
Lino, nan
Paszek, 142.842491
Navarro, 143.898204
Kulichkova, 143.514523
Sanders, 140.662500
Hon, nan
Azarenka, 148.354279
Duval, 140.294340
Kontaveit, 151.561688
Mattek-Sands, 145.787678
Cetkovska, 147.605234
Maria, 140.250000
Birrell, 146.355932
Patterson, 157.500000
Han, 133.955556
Wang, 148.766537
Falconi, 139.174684
Brengle, 142.911111
Cornet, 151.382979
Friedsam, 164.711974
Nieminen, 163.024785
Mayer, 184.012276
Ilhan, 172.265594
Maurer, 177.349206
Soeda, 162.244787
Souza, 175.600000
Bolelli, 173.344625
Klizan, 163.760967
Robredo, 166.396535
Schepper, 184.934040
Traver, 168.913043
Vanni, 175.602564
Ymer, 169.514905
Haase, 172.912826
Krajinovic, 168.936170
Sugita, 161.279279
Bemelmans, 170.459144
Ward, 169.333333
Kavcic, 166.882432
Krunic, 145.064777
Dulgheru, 146.266850
Uytvanck, 159.246187
Xu, 141.771930
Sharapova, 158.124803
Hogenkamp, 145.804545
Pennetta, 144.011449
Zhu, nan
Hall, nan
Pereira, 143.978166
Bacsinszky, 143.472727
Karatantcheva, 137.693750
Gajdosova, 153.696203
Cepelova, 131.979920
Mitu, 151.009494
Doi, 144.795000
Sands, 142.236145
Diyas, 151.781737
Radwanska, 139.337182
McHale, 144.432785
Govortsova, 143.503750
Dellacqua, 140.610909
Berrer, 173.016129
Nedovyesov, 168.797009
Kokkinakis, 175.239649
Fish, 167.855593
Robson, 152.566688
Loeb, 139.905660
Pegula, 144.782258
Lisicki, 152.761229
Tiafoe, 170.907937
Falla, 159.246914
Friedsam, 167.736364
Flor, 154.560606
Johansson, 144.485535
Lino, 136.332865
Espinosa, 147.583333
Ivanovic, 152.555417
Ferro, 134.218750
Hesse, 147.150628
Kanepi, 152.587052
Hradecka, 160.612329
Moriya, 165.292135
Hewitt, 155.904337
Gonzalez, 167.106977
Kamke, 162.819204
Struff, 171.121094
Kudryavtsev, 166.276000
Lu, 175.402995
Roger-Vasselin, 169.606282
Zvonareva, 150.155958
Rogowska, 142.974903
Date-Krumm, 135.203633
Strycova, 152.955140
Meusburger, 139.167568
Smitkova, 158.880682
Torro-Flor, 154.638298
Mestach, 154.948276
Soler-Espinosa, 141.604452
Voracova, 145.906250
Begu, 151.775444
Martic, 153.728455
Koukalova, 133.809836
Panova, 151.081545
Kravchuk, nan
Wang, 168.908861
Klahn, 174.592105
Matosevic, 167.647848
Haider-Maurer, 179.994924
Hanescu, 173.282524
Volandri, 151.881868
Kuznetsov, 174.543253
Groth, 184.348315
Russell, 162.737108
Smethurst, 166.208791
Riba, 167.368000
Kubot, 181.313886
Hernych, 170.556122
Puetz, nan
Reister, 169.780488
Dancevic, 165.339506
Scheepers, 147.229339
Jaksic, 135.836957
A.Schmiedlova, nan
A.Pavlyuchenkova, 152.916318
Cadantu, 142.771739
Murray, 144.833333
Pfizenmaier, 150.703704
Glushko, 141.878788
Wozniak, 147.138568
M.Torro-Flor, 146.925926
Kudryavtseva, 145.333333
Kania, 144.790323
Brito, 140.378151
Kirilenko, 148.548562
Gonzalez, 154.504732
Llodra, 173.976109
Giron, 163.728070
McGee, 167.643478
Bachinger, 171.772727
Gojowczyk, 168.394619
Min, 138.277778
Fichman, 139.015748
Abanda, 139.921875
Collins, 144.456790
Lucic-Baroni, 154.582090
Mathieu, 167.570053
Zopp, 172.712707
Michon, 146.650602
Sijsling, 173.108197
Beck, 177.390977
Golubev, 167.422179
Devvarman, 152.385117
Montanes, 164.188800
Pavic, 180.237805
Mecir, nan
Ds.Schwartzman, 148.681818
Schmiedlova, 142.278049
Oprandi, 142.546318
Pervak, 138.162037
Beygelzimer, 134.724138
Peer, 137.186548
Feuerstein, 145.299242
Piter, 147.683453
Shapatava, 136.108696
Melzer, nan
Kleybanova, 143.950413
Candela, 146.941176
Mt.Torro-Flor, 142.982456
Ormaechea, 144.485488
Williams, 170.206522
Wu, 152.147541
Wawrinka, 172.235999
Guez, 155.095238
Davydenko, 164.090604
Vickery, 139.923810
Li, 150.308198
