Winner, Loser, WRank, LRank, Court, Surface, Round, Series, WElapsed, LElapsed, WRClay, WRGrass, WRHard, LRClay, LRGrass, LRHard, WAvgSpeed, LAvgSpeed, Wsets, Lsets, WDigit, LDigit
Isner, Kudla, 15.000000, 59.000000, Outdoor, Clay, 2nd Round, ATP250, 12.000000, 3.000000, 0.203390, 0.118644, 0.677966, 0.080000, 0.440000, 0.480000, 193.113282, 166.232168, 2.000000, 0.000000, 1, 0
Chung, Paul, 71.000000, 200.000000, Outdoor, Clay, 2nd Round, ATP250, 3.000000, 2.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Smyczek, Young, 125.000000, 85.000000, Outdoor, Clay, 2nd Round, ATP250, 2.000000, 2.000000, 0.103448, 0.068966, 0.827586, 0.074074, 0.135802, 0.790123, 164.427642, 157.740998, 2.000000, 0.000000, 1, 0
Lopez, Lacko, 24.000000, 114.000000, Outdoor, Clay, 2nd Round, ATP250, 13.000000, 2.000000, 0.263158, 0.230263, 0.506579, 0.029412, 0.176471, 0.794118, 163.491159, 168.182625, 2.000000, 0.000000, 1, 0
Sock, Barton, 25.000000, 270.000000, Outdoor, Clay, 2nd Round, ATP250, 9.000000, 2.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Baghdatis, Verdasco, 39.000000, 77.000000, Outdoor, Clay, 2nd Round, ATP250, 3.000000, 2.000000, 0.058824, 0.223529, 0.717647, 0.453125, 0.117188, 0.429688, 168.784262, 172.895652, 2.000000, 0.000000, 1, 0
Monaco, Querrey, 148.000000, 35.000000, Outdoor, Clay, Quarterfinals, ATP250, 2.000000, 2.000000, 0.703704, 0.049383, 0.246914, 0.171875, 0.218750, 0.609375, 163.588329, 178.101228, 2.000000, 0.000000, 1, 0
Lopez, Smyczek, 24.000000, 125.000000, Outdoor, Clay, Quarterfinals, ATP250, 1.000000, 1.000000, 0.263158, 0.230263, 0.506579, 0.103448, 0.068966, 0.827586, 163.491159, 164.427642, 2.000000, 0.000000, 1, 0
Isner, Chung, 15.000000, 71.000000, Outdoor, Clay, Quarterfinals, ATP250, 2.000000, 2.000000, 0.203390, 0.118644, 0.677966, 0.451613, 0.032258, 0.516129, 193.113282, 168.954660, 2.000000, 0.000000, 1, 0
Sock, Baghdatis, 25.000000, 39.000000, Outdoor, Clay, Quarterfinals, ATP250, 2.000000, 1.000000, 0.208955, 0.082090, 0.708955, 0.058824, 0.223529, 0.717647, 176.638039, 168.784262, 2.000000, 0.000000, 1, 0
Monaco, Lopez, 148.000000, 24.000000, Outdoor, Clay, Semifinals, ATP250, 1.000000, 1.000000, 0.703704, 0.049383, 0.246914, 0.263158, 0.230263, 0.506579, 163.588329, 163.491159, 2.000000, 0.000000, 1, 0
Sock, Isner, 25.000000, 15.000000, Outdoor, Clay, Semifinals, ATP250, 2.000000, 2.000000, 0.208955, 0.082090, 0.708955, 0.203390, 0.118644, 0.677966, 176.638039, 193.113282, 2.000000, 0.000000, 1, 0
Monaco, Sock, 148.000000, 25.000000, Outdoor, Clay, The Final, ATP250, 1.000000, 1.000000, 0.703704, 0.049383, 0.246914, 0.208955, 0.082090, 0.708955, 163.588329, 176.638039, 2.000000, 1.000000, 1, 0
Gonzalez, Munoz, 147.000000, 75.000000, Outdoor, Clay, 1st Round, ATP250, 12.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Montanes, Skugor, 123.000000, 151.000000, Outdoor, Clay, 1st Round, ATP250, 56.000000, 40.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Bagnis, Ouahab, 95.000000, 320.000000, Outdoor, Clay, 1st Round, ATP250, 39.000000, 360.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Mektic, El, 312.000000, nan, Outdoor, Clay, 1st Round, ATP250, 347.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Istomin, Giustino, 72.000000, 257.000000, Outdoor, Clay, 1st Round, ATP250, 9.000000, 350.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Gimeno-Traver, Gabashvili, 102.000000, 51.000000, Outdoor, Clay, 1st Round, ATP250, 40.000000, 13.000000, 0.826087, 0.000000, 0.173913, 0.413043, 0.043478, 0.543478, 166.837587, 165.434817, 2.000000, 0.000000, 1, 0
Vesely, Cervantes, 55.000000, 56.000000, Outdoor, Clay, 1st Round, ATP250, 13.000000, 11.000000, 0.481013, 0.126582, 0.392405, 0.733333, 0.000000, 0.266667, 181.729904, 161.954023, 2.000000, 0.000000, 1, 0
Bolelli, Daniel, 84.000000, 91.000000, Outdoor, Clay, 1st Round, ATP250, 13.000000, 43.000000, 0.363636, 0.136364, 0.500000, 0.833333, 0.000000, 0.166667, 173.344625, 163.533512, 2.000000, 0.000000, 1, 0
Mathieu, Ramos-Vinolas, 63.000000, 50.000000, Outdoor, Clay, 1st Round, ATP250, 12.000000, 10.000000, 0.488372, 0.093023, 0.418605, 0.628205, 0.064103, 0.307692, 168.317343, 161.105263, 2.000000, 0.000000, 1, 0
Almagro, Albot, 62.000000, 156.000000, Outdoor, Clay, 1st Round, ATP250, 26.000000, 49.000000, 0.698113, 0.028302, 0.273585, 0.416667, 0.333333, 0.250000, 175.619251, 158.260579, 2.000000, 0.000000, 1, 0
De, Ahouda, 105.000000, 834.000000, Outdoor, Clay, 1st Round, ATP250, 23.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Carreno, Donskoy, 52.000000, 67.000000, Outdoor, Clay, 1st Round, ATP250, nan, 14.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Montanes, Gimeno-Traver, 123.000000, 102.000000, Outdoor, Clay, 2nd Round, ATP250, 2.000000, 1.000000, 0.978261, 0.000000, 0.021739, 0.826087, 0.000000, 0.173913, 164.188800, 166.837587, 2.000000, 0.000000, 1, 0
Bagnis, Sousa, 95.000000, 36.000000, Outdoor, Clay, 2nd Round, ATP250, 2.000000, 10.000000, 0.923077, 0.000000, 0.076923, 0.412281, 0.070175, 0.517544, 167.461749, 164.660227, 2.000000, 0.000000, 1, 0
Mathieu, Gonzalez, 63.000000, 147.000000, Outdoor, Clay, 2nd Round, ATP250, 1.000000, 2.000000, 0.488372, 0.093023, 0.418605, 0.631579, 0.000000, 0.368421, 168.317343, 167.106977, 2.000000, 0.000000, 1, 0
Coric, Bolelli, 48.000000, 84.000000, Outdoor, Clay, 2nd Round, ATP250, 13.000000, 1.000000, 0.426471, 0.029412, 0.544118, 0.363636, 0.136364, 0.500000, 167.566719, 173.344625, nan, nan, 1, 0
Vesely, Mektic, 55.000000, 312.000000, Outdoor, Clay, 2nd Round, ATP250, 2.000000, 3.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Carreno, Istomin, 52.000000, 72.000000, Outdoor, Clay, 2nd Round, ATP250, 1.000000, 2.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Garcia-Lopez, Almagro, 38.000000, 62.000000, Outdoor, Clay, 2nd Round, ATP250, 13.000000, 2.000000, 0.495146, 0.058252, 0.446602, 0.698113, 0.028302, 0.273585, 165.312162, 175.619251, 2.000000, 1.000000, 1, 0
Delbonis, De, 47.000000, 105.000000, Outdoor, Clay, 2nd Round, ATP250, 12.000000, 2.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Montanes, Bagnis, 123.000000, 95.000000, Outdoor, Clay, Quarterfinals, ATP250, 2.000000, 2.000000, 0.978261, 0.000000, 0.021739, 0.923077, 0.000000, 0.076923, 164.188800, 167.461749, 2.000000, 0.000000, 1, 0
Coric, Mathieu, 48.000000, 63.000000, Outdoor, Clay, Quarterfinals, ATP250, 2.000000, 2.000000, 0.426471, 0.029412, 0.544118, 0.488372, 0.093023, 0.418605, 167.566719, 168.317343, 2.000000, 1.000000, 1, 0
Delbonis, Carreno, 47.000000, 52.000000, Outdoor, Clay, Quarterfinals, ATP250, 1.000000, 1.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Vesely, Garcia-Lopez, 55.000000, 38.000000, Outdoor, Clay, Quarterfinals, ATP250, 1.000000, 1.000000, 0.481013, 0.126582, 0.392405, 0.495146, 0.058252, 0.446602, 181.729904, 165.312162, 2.000000, 0.000000, 1, 0
Delbonis, Montanes, 47.000000, 123.000000, Outdoor, Clay, Semifinals, ATP250, 1.000000, 1.000000, 0.743902, 0.000000, 0.256098, 0.978261, 0.000000, 0.021739, 172.255814, 164.188800, 2.000000, 0.000000, 1, 0
Coric, Vesely, 48.000000, 55.000000, Outdoor, Clay, Semifinals, ATP250, 1.000000, 1.000000, 0.426471, 0.029412, 0.544118, 0.481013, 0.126582, 0.392405, 167.566719, 181.729904, 2.000000, 0.000000, 1, 0
Delbonis, Coric, 47.000000, 48.000000, Outdoor, Clay, The Final, ATP250, 1.000000, 1.000000, 0.743902, 0.000000, 0.256098, 0.426471, 0.029412, 0.544118, 172.255814, 167.566719, 2.000000, 0.000000, 1, 0
Chardy, Kuznetsov, 33.000000, 46.000000, Outdoor, Clay, 1st Round, Masters 1000, 16.000000, 12.000000, 0.318584, 0.106195, 0.575221, 0.385714, 0.100000, 0.514286, 182.488035, 164.852023, 2.000000, 0.000000, 1, 0
Simon, Troicki, 18.000000, 24.000000, Outdoor, Clay, 1st Round, Masters 1000, 11.000000, 14.000000, 0.260274, 0.123288, 0.616438, 0.280374, 0.130841, 0.588785, 156.881607, 173.013009, 2.000000, 0.000000, 1, 0
Zverev, Rublev, 54.000000, 157.000000, Outdoor, Clay, 1st Round, Masters 1000, 7.000000, 19.000000, 0.291391, 0.205298, 0.503311, 0.421053, 0.157895, 0.421053, 188.070340, 173.582090, 2.000000, 0.000000, 1, 0
Bautista, Ramos-Vinolas, 17.000000, 50.000000, Outdoor, Clay, 1st Round, Masters 1000, 12.000000, 6.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Garcia-Lopez, Bellucci, 38.000000, 35.000000, Outdoor, Clay, 1st Round, Masters 1000, 3.000000, 16.000000, 0.495146, 0.058252, 0.446602, 0.666667, 0.012821, 0.320513, 165.312162, 168.661962, 2.000000, 0.000000, 1, 0
Bedene, Rosol, 60.000000, 61.000000, Outdoor, Clay, 1st Round, Masters 1000, 16.000000, 18.000000, 0.403226, 0.145161, 0.451613, 0.397590, 0.048193, 0.554217, 168.649522, 179.291215, 2.000000, 0.000000, 1, 0
Monfils, Muller, 16.000000, 43.000000, Outdoor, Clay, 1st Round, Masters 1000, 11.000000, 19.000000, 0.275641, 0.096154, 0.628205, 0.079208, 0.297030, 0.623762, 173.486181, 175.866384, 2.000000, 0.000000, 1, 0
Herbert, Pella, 95.000000, 47.000000, Outdoor, Clay, 1st Round, Masters 1000, 16.000000, 18.000000, 0.103448, 0.206897, 0.689655, 0.638889, 0.000000, 0.361111, 177.690000, 170.381885, 2.000000, 0.000000, 1, 0
Dimitrov, Krajinovic, 26.000000, 110.000000, Outdoor, Clay, 1st Round, Masters 1000, 12.000000, 67.000000, 0.209424, 0.120419, 0.670157, 0.375000, 0.000000, 0.625000, 176.887884, 168.936170, 2.000000, 0.000000, 1, 0
Gasquet, Almagro, 10.000000, 64.000000, Outdoor, Clay, 1st Round, Masters 1000, 13.000000, 4.000000, 0.184971, 0.132948, 0.682081, 0.698113, 0.028302, 0.273585, 166.746555, 175.619251, 2.000000, 0.000000, 1, 0
Carreno, Robert, 51.000000, 121.000000, Outdoor, Clay, 1st Round, Masters 1000, 3.000000, 79.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Raonic, Cecchinato, 12.000000, 98.000000, Outdoor, Clay, 1st Round, Masters 1000, 10.000000, 48.000000, 0.215000, 0.120000, 0.665000, 1.000000, 0.000000, 0.000000, 189.920348, 169.072398, 2.000000, 0.000000, 1, 0
Paire, Cervantes, 22.000000, 56.000000, Outdoor, Clay, 1st Round, Masters 1000, 5.000000, 6.000000, 0.394737, 0.096491, 0.508772, 0.733333, 0.000000, 0.266667, 165.389553, 161.954023, 2.000000, 1.000000, 1, 0
Thiem, Struff, 14.000000, 115.000000, Outdoor, Clay, 1st Round, Masters 1000, 13.000000, 67.000000, 0.503106, 0.086957, 0.409938, 0.377358, 0.075472, 0.547170, 168.035472, 185.668817, 2.000000, 1.000000, 1, 0
Pouille, Mahut, 82.000000, 48.000000, Outdoor, Clay, 1st Round, Masters 1000, 13.000000, 18.000000, 0.375000, 0.138889, 0.486111, 0.094595, 0.432432, 0.472973, 172.032044, 172.332695, 2.000000, 0.000000, 1, 0
Cuevas, Gimeno-Traver, 25.000000, 131.000000, Outdoor, Clay, 1st Round, Masters 1000, 15.000000, 6.000000, 0.693878, 0.051020, 0.255102, 0.826087, 0.000000, 0.173913, 168.311098, 166.837587, 2.000000, 1.000000, 1, 0
Sousa, Karlovic, 34.000000, 30.000000, Outdoor, Clay, 1st Round, Masters 1000, 6.000000, 48.000000, 0.412281, 0.070175, 0.517544, 0.185185, 0.222222, 0.592593, 164.660227, 195.388708, 2.000000, 0.000000, 1, 0
Vesely, Gabashvili, 55.000000, 52.000000, Outdoor, Clay, 1st Round, Masters 1000, 3.000000, 7.000000, 0.481013, 0.126582, 0.392405, 0.413043, 0.043478, 0.543478, 181.729904, 165.434817, 2.000000, 1.000000, 1, 0
Dzumhur, Haase, 99.000000, 62.000000, Outdoor, Clay, 1st Round, Masters 1000, 14.000000, 31.000000, 0.319149, 0.063830, 0.617021, 0.451613, 0.118280, 0.430108, 149.777778, 172.912826, 2.000000, 0.000000, 1, 0
Kohlschreiber, Coric, 28.000000, 42.000000, Outdoor, Clay, 1st Round, Masters 1000, 27.000000, 2.000000, 0.464052, 0.111111, 0.424837, 0.426471, 0.029412, 0.544118, 169.174588, 167.566719, 2.000000, 0.000000, 1, 0
Daniel, Mannarino, 90.000000, 73.000000, Outdoor, Clay, 1st Round, Masters 1000, 7.000000, 15.000000, 0.833333, 0.000000, 0.166667, 0.137255, 0.294118, 0.568627, 163.533512, 159.608594, 2.000000, 0.000000, 1, 0
Goffin, Lopez, 13.000000, 23.000000, Outdoor, Clay, 1st Round, Masters 1000, 11.000000, 3.000000, 0.295775, 0.084507, 0.619718, 0.263158, 0.230263, 0.506579, 163.700575, 163.491159, 2.000000, 0.000000, 1, 0
Verdasco, Delbonis, 88.000000, 36.000000, Outdoor, Clay, 1st Round, Masters 1000, 4.000000, 2.000000, 0.453125, 0.117188, 0.429688, 0.743902, 0.000000, 0.256098, 172.895652, 172.255814, 2.000000, 0.000000, 1, 0
Lorenzi, Fognini, 53.000000, 31.000000, Outdoor, Clay, 1st Round, Masters 1000, 7.000000, 55.000000, 0.640000, 0.026667, 0.333333, 0.602564, 0.051282, 0.346154, 166.731951, 161.296142, 2.000000, 1.000000, 1, 0
Simon, Dimitrov, 18.000000, 26.000000, Outdoor, Clay, 2nd Round, Masters 1000, 2.000000, 1.000000, 0.260274, 0.123288, 0.616438, 0.209424, 0.120419, 0.670157, 156.881607, 176.887884, 2.000000, 0.000000, 1, 0
Murray, Herbert, 2.000000, 95.000000, Outdoor, Clay, 2nd Round, Masters 1000, 15.000000, 1.000000, 0.209302, 0.166667, 0.624031, 0.103448, 0.206897, 0.689655, 167.091792, 177.690000, 2.000000, 1.000000, 1, 0
Federer, Garcia-Lopez, 3.000000, 38.000000, Outdoor, Clay, 2nd Round, Masters 1000, 75.000000, 1.000000, 0.151515, 0.207792, 0.640693, 0.495146, 0.058252, 0.446602, 175.109088, 165.312162, 2.000000, 0.000000, 1, 0
Tsonga, Carreno, 9.000000, 51.000000, Outdoor, Clay, 2nd Round, Masters 1000, 15.000000, 1.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Bautista, Chardy, 17.000000, 33.000000, Outdoor, Clay, 2nd Round, Masters 1000, 1.000000, 2.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Dzumhur, Berdych, 99.000000, 7.000000, Outdoor, Clay, 2nd Round, Masters 1000, 1.000000, 13.000000, 0.319149, 0.063830, 0.617021, 0.210300, 0.120172, 0.669528, 149.777778, 178.187284, 2.000000, 1.000000, 1, 0
Wawrinka, Kohlschreiber, 4.000000, 28.000000, Outdoor, Clay, 2nd Round, Masters 1000, 18.000000, 1.000000, 0.314554, 0.079812, 0.605634, 0.464052, 0.111111, 0.424837, 173.731626, 169.174588, 2.000000, 0.000000, 1, 0
Paire, Sousa, 22.000000, 34.000000, Outdoor, Clay, 2nd Round, Masters 1000, 2.000000, 1.000000, 0.394737, 0.096491, 0.508772, 0.412281, 0.070175, 0.517544, 165.389553, 164.660227, 2.000000, 0.000000, 1, 0
Thiem, Daniel, 14.000000, 90.000000, Outdoor, Clay, 2nd Round, Masters 1000, 2.000000, 1.000000, 0.503106, 0.086957, 0.409938, 0.833333, 0.000000, 0.166667, 168.035472, 163.533512, 2.000000, 1.000000, 1, 0
Nadal, Bedene, 5.000000, 60.000000, Outdoor, Clay, 2nd Round, Masters 1000, 18.000000, 2.000000, 0.501859, 0.040892, 0.457249, 0.403226, 0.145161, 0.451613, 168.193934, 168.649522, 2.000000, 0.000000, 1, 0
Raonic, Cuevas, 12.000000, 25.000000, Outdoor, Clay, 2nd Round, Masters 1000, 2.000000, 1.000000, 0.215000, 0.120000, 0.665000, 0.693878, 0.051020, 0.255102, 189.920348, 168.311098, 2.000000, 1.000000, 1, 0
Goffin, Verdasco, 13.000000, 88.000000, Outdoor, Clay, 2nd Round, Masters 1000, 1.000000, 1.000000, 0.295775, 0.084507, 0.619718, 0.453125, 0.117188, 0.429688, 163.700575, 172.895652, 2.000000, 1.000000, 1, 0
Vesely, Djokovic, 55.000000, 1.000000, Outdoor, Clay, 2nd Round, Masters 1000, 1.000000, 10.000000, 0.481013, 0.126582, 0.392405, 0.229773, 0.097087, 0.673139, 181.729904, 173.956002, 2.000000, 1.000000, 1, 0
Pouille, Gasquet, 82.000000, 10.000000, Outdoor, Clay, 2nd Round, Masters 1000, 2.000000, 2.000000, 0.375000, 0.138889, 0.486111, 0.184971, 0.132948, 0.682081, 172.032044, 166.746555, 2.000000, 1.000000, 1, 0
Monfils, Lorenzi, 16.000000, 53.000000, Outdoor, Clay, 2nd Round, Masters 1000, 2.000000, 1.000000, 0.275641, 0.096154, 0.628205, 0.640000, 0.026667, 0.333333, 173.486181, 166.731951, 2.000000, 0.000000, 1, 0
Granollers, Zverev, 67.000000, 54.000000, Outdoor, Clay, 2nd Round, Masters 1000, 19.000000, 2.000000, 0.482353, 0.047059, 0.470588, 0.291391, 0.205298, 0.503311, 169.049497, 188.070340, 2.000000, 1.000000, 1, 0
Raonic, Dzumhur, 12.000000, 99.000000, Outdoor, Clay, 3rd Round, Masters 1000, 1.000000, 1.000000, 0.215000, 0.120000, 0.665000, 0.319149, 0.063830, 0.617021, 189.920348, 149.777778, 2.000000, 1.000000, 1, 0
Murray, Paire, 2.000000, 22.000000, Outdoor, Clay, 3rd Round, Masters 1000, 2.000000, 1.000000, 0.209302, 0.166667, 0.624031, 0.394737, 0.096491, 0.508772, 167.091792, 165.389553, 2.000000, 1.000000, 1, 0
Wawrinka, Simon, 4.000000, 18.000000, Outdoor, Clay, 3rd Round, Masters 1000, 1.000000, 2.000000, 0.314554, 0.079812, 0.605634, 0.260274, 0.123288, 0.616438, 173.731626, 156.881607, 2.000000, 0.000000, 1, 0
Nadal, Thiem, 5.000000, 14.000000, Outdoor, Clay, 3rd Round, Masters 1000, 1.000000, 1.000000, 0.501859, 0.040892, 0.457249, 0.503106, 0.086957, 0.409938, 168.193934, 168.035472, 2.000000, 0.000000, 1, 0
Monfils, Vesely, 16.000000, 55.000000, Outdoor, Clay, 3rd Round, Masters 1000, 1.000000, 1.000000, 0.275641, 0.096154, 0.628205, 0.481013, 0.126582, 0.392405, 173.486181, 181.729904, 2.000000, 0.000000, 1, 0
Federer, Bautista, 3.000000, 17.000000, Outdoor, Clay, 3rd Round, Masters 1000, 2.000000, 2.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Granollers, Goffin, 67.000000, 13.000000, Outdoor, Clay, 3rd Round, Masters 1000, 1.000000, 1.000000, 0.482353, 0.047059, 0.470588, 0.295775, 0.084507, 0.619718, 169.049497, 163.700575, 2.000000, 0.000000, 1, 0
Tsonga, Pouille, 9.000000, 82.000000, Outdoor, Clay, 3rd Round, Masters 1000, 2.000000, 1.000000, 0.248447, 0.105590, 0.645963, 0.375000, 0.138889, 0.486111, 173.887833, 172.032044, 2.000000, 0.000000, 1, 0
Murray, Raonic, 2.000000, 12.000000, Outdoor, Clay, Quarterfinals, Masters 1000, 1.000000, 1.000000, 0.209302, 0.166667, 0.624031, 0.215000, 0.120000, 0.665000, 167.091792, 189.920348, 2.000000, 0.000000, 1, 0
Nadal, Wawrinka, 5.000000, 4.000000, Outdoor, Clay, Quarterfinals, Masters 1000, 1.000000, 1.000000, 0.501859, 0.040892, 0.457249, 0.314554, 0.079812, 0.605634, 168.193934, 173.731626, 2.000000, 0.000000, 1, 0
Tsonga, Federer, 9.000000, 3.000000, Outdoor, Clay, Quarterfinals, Masters 1000, 1.000000, 1.000000, 0.248447, 0.105590, 0.645963, 0.151515, 0.207792, 0.640693, 173.887833, 175.109088, 2.000000, 1.000000, 1, 0
Monfils, Granollers, 16.000000, 67.000000, Outdoor, Clay, Quarterfinals, Masters 1000, 1.000000, 1.000000, 0.275641, 0.096154, 0.628205, 0.482353, 0.047059, 0.470588, 173.486181, 169.049497, 2.000000, 0.000000, 1, 0
Nadal, Murray, 5.000000, 2.000000, Outdoor, Clay, Semifinals, Masters 1000, 1.000000, 1.000000, 0.501859, 0.040892, 0.457249, 0.209302, 0.166667, 0.624031, 168.193934, 167.091792, 2.000000, 1.000000, 1, 0
Monfils, Tsonga, 16.000000, 9.000000, Outdoor, Clay, Semifinals, Masters 1000, 1.000000, 1.000000, 0.275641, 0.096154, 0.628205, 0.248447, 0.105590, 0.645963, 173.486181, 173.887833, 2.000000, 0.000000, 1, 0
Nadal, Monfils, 5.000000, 16.000000, Outdoor, Clay, The Final, Masters 1000, 1.000000, 1.000000, 0.501859, 0.040892, 0.457249, 0.275641, 0.096154, 0.628205, 168.193934, 173.486181, 2.000000, 1.000000, 1, 0
Donskoy, Bagnis, 68.000000, 97.000000, Outdoor, Clay, 1st Round, ATP500, 12.000000, 10.000000, 0.107143, 0.107143, 0.785714, 0.923077, 0.000000, 0.076923, 161.503771, 167.461749, 2.000000, 0.000000, 1, 0
Jaziri, Chung, 76.000000, 71.000000, Outdoor, Clay, 1st Round, ATP500, 54.000000, 9.000000, 0.148936, 0.106383, 0.744681, 0.451613, 0.032258, 0.516129, 159.836364, 168.954660, 2.000000, 0.000000, 1, 0
Estrella, Kukushkin, 78.000000, 89.000000, Outdoor, Clay, 1st Round, ATP500, 14.000000, 20.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Stepanek, Giraldo, 159.000000, 91.000000, Outdoor, Clay, 1st Round, ATP500, 88.000000, 22.000000, 0.300000, 0.200000, 0.500000, 0.616438, 0.095890, 0.287671, 172.962494, 162.446695, 2.000000, 0.000000, 1, 0
Cervantes, Skugor, 57.000000, 146.000000, Outdoor, Clay, 1st Round, ATP500, 7.000000, 14.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Khachanov, Bedene, 138.000000, 59.000000, Outdoor, Clay, 1st Round, ATP500, 104.000000, 5.000000, 0.461538, 0.128205, 0.410256, 0.403226, 0.145161, 0.451613, 176.693780, 168.649522, 2.000000, 1.000000, 1, 0
Montanes, Carballes, 104.000000, 118.000000, Outdoor, Clay, 1st Round, ATP500, 9.000000, 25.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Gabashvili, Almagro, 54.000000, 66.000000, Outdoor, Clay, 1st Round, ATP500, 6.000000, 7.000000, 0.413043, 0.043478, 0.543478, 0.698113, 0.028302, 0.273585, 165.434817, 175.619251, 2.000000, 1.000000, 1, 0
Zverev, Struff, 51.000000, 113.000000, Outdoor, Clay, 1st Round, ATP500, 5.000000, 7.000000, 0.291391, 0.205298, 0.503311, 0.377358, 0.075472, 0.547170, 188.070340, 185.668817, 2.000000, 0.000000, 1, 0
Fucsovics, Gulbis, 212.000000, 83.000000, Outdoor, Clay, 1st Round, ATP500, 365.000000, 27.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Carreno, Istomin, 49.000000, 73.000000, Outdoor, Clay, 1st Round, ATP500, 7.000000, 12.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Youzhny, Ram, 74.000000, 56.000000, Outdoor, Clay, 1st Round, ATP500, 25.000000, 25.000000, 0.285714, 0.164835, 0.549451, 0.178571, 0.321429, 0.500000, 166.501235, 174.970405, 2.000000, 0.000000, 1, 0
Dodig, Cachin, 79.000000, 242.000000, Outdoor, Clay, 1st Round, ATP500, 26.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Granollers, Munoz, 50.000000, 96.000000, Outdoor, Clay, 1st Round, ATP500, 4.000000, 15.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
De, Ymer, 102.000000, 123.000000, Outdoor, Clay, 1st Round, ATP500, 12.000000, 26.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Ramos-Vinolas, Munar, 55.000000, 425.000000, Outdoor, Clay, 1st Round, ATP500, 8.000000, 264.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Dolgopolov, Donskoy, 30.000000, 68.000000, Outdoor, Clay, 2nd Round, ATP500, 22.000000, 1.000000, 0.320755, 0.160377, 0.518868, 0.107143, 0.107143, 0.785714, 167.790857, 161.503771, 2.000000, 1.000000, 1, 0
Khachanov, Bautista, 138.000000, 17.000000, Outdoor, Clay, 2nd Round, ATP500, 1.000000, 5.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Paire, Gabashvili, 22.000000, 54.000000, Outdoor, Clay, 2nd Round, ATP500, 5.000000, 1.000000, 0.394737, 0.096491, 0.508772, 0.413043, 0.043478, 0.543478, 165.389553, 165.434817, 2.000000, 0.000000, 1, 0
Chardy, Estrella, 33.000000, 78.000000, Outdoor, Clay, 2nd Round, ATP500, 7.000000, 1.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Fognini, Youzhny, 31.000000, 74.000000, Outdoor, Clay, 2nd Round, ATP500, 8.000000, 1.000000, 0.602564, 0.051282, 0.346154, 0.285714, 0.164835, 0.549451, 161.296142, 166.501235, 2.000000, 1.000000, 1, 0
Jaziri, Olivo, 76.000000, 167.000000, Outdoor, Clay, 2nd Round, ATP500, 2.000000, 41.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Zverev, Bellucci, 51.000000, 35.000000, Outdoor, Clay, 2nd Round, ATP500, 2.000000, 9.000000, 0.291391, 0.205298, 0.503311, 0.666667, 0.012821, 0.320513, 188.070340, 168.661962, 2.000000, 1.000000, 1, 0
Kohlschreiber, Carreno, 27.000000, 49.000000, Outdoor, Clay, 2nd Round, ATP500, 7.000000, 1.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Troicki, Fucsovics, 24.000000, 212.000000, Outdoor, Clay, 2nd Round, ATP500, 10.000000, 1.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
