Player, RClay, RGrass, RHard
Gojowczyk, 0.000000, 0.411765, 0.588235
Pospisil, 0.051948, 0.181818, 0.766234
Anderson, 0.222222, 0.123457, 0.654321
Laaksonen, 0.700000, 0.000000, 0.300000
Robert, 0.347826, 0.086957, 0.565217
Haas, 0.362319, 0.130435, 0.507246
Gonzalez, 0.631579, 0.000000, 0.368421
Djere, 1.000000, 0.000000, 0.000000
Ahouda, 1.000000, 0.000000, 0.000000
El, 1.000000, 0.000000, 0.000000
Quinzi, 1.000000, 0.000000, 0.000000
Sugita, 0.200000, 0.500000, 0.300000
Montanes, 0.978261, 0.000000, 0.021739
Fucsovics, 0.400000, 0.000000, 0.600000
Silva, 1.000000, 0.000000, 0.000000
Daniel, 0.833333, 0.000000, 0.166667
Domingues, 1.000000, 0.000000, 0.000000
Hanfmann, 0.857143, 0.142857, 0.000000
Skugor, 0.500000, 0.000000, 0.500000
Bonzi, 1.000000, 0.000000, 0.000000
Trungelliti, 0.750000, 0.000000, 0.250000
Napolitano, 1.000000, 0.000000, 0.000000
Bolelli, 0.363636, 0.136364, 0.500000
Kravchuk, 0.500000, 0.250000, 0.250000
Kokkinakis, 0.105263, 0.157895, 0.736842
Kozlov, 0.000000, 1.000000, 0.000000
Shapovalov, 0.000000, 0.166667, 0.833333
Ramanathan, 0.000000, 0.333333, 0.666667
Safwat, 0.000000, 0.500000, 0.500000
Altmaier, 0.000000, 1.000000, 0.000000
Ilhan, 0.333333, 0.222222, 0.444444
Norrie, 0.000000, 1.000000, 0.000000
Fabbiano, 0.166667, 0.166667, 0.666667
Rosol, 0.397590, 0.048193, 0.554217
Bemelmans, 0.100000, 0.200000, 0.700000
Pavlasek, 0.750000, 0.250000, 0.000000
Gulbis, 0.375000, 0.072917, 0.552083
Ofner, 0.600000, 0.400000, 0.000000
Novikov, 0.000000, 0.750000, 0.250000
Kudla, 0.080000, 0.440000, 0.480000
Kamke, 0.294118, 0.117647, 0.588235
Menendez-Maceiras, 0.500000, 0.500000, 0.000000
Santillan, 0.000000, 0.500000, 0.500000
Dancevic, 0.000000, 0.625000, 0.375000
Cecchinato, 1.000000, 0.000000, 0.000000
Dodig, 0.276923, 0.123077, 0.600000
Martin, 1.000000, 0.000000, 0.000000
Balazs, 1.000000, 0.000000, 0.000000
Paul, 0.142857, 0.000000, 0.857143
Halys, 0.200000, 0.000000, 0.800000
Millman, 0.000000, 0.192308, 0.807692
Eubanks, 0.000000, 0.000000, 1.000000
Sakharov, 1.000000, 0.000000, 0.000000
Zekic, 1.000000, 0.000000, 0.000000
Millot, 0.000000, 0.000000, 1.000000
Polansky, 0.200000, 0.000000, 0.800000
Tursunov, 0.266667, 0.044444, 0.688889
Sandgren, 0.000000, 0.000000, 1.000000
Krueger, 0.000000, 0.000000, 1.000000
Pavic, 0.000000, 0.750000, 0.250000
Krajicek, 0.000000, 0.083333, 0.916667
Vanni, 0.800000, 0.000000, 0.200000
Munoz-De, 0.250000, 0.000000, 0.750000
Andujar, 0.672414, 0.034483, 0.293103
Gabashvili, 0.413043, 0.043478, 0.543478
Berankis, 0.135135, 0.027027, 0.837838
Sarkissian, 0.500000, 0.000000, 0.500000
Duckworth, 0.176471, 0.117647, 0.705882
Basic, 0.200000, 0.200000, 0.600000
Jasika, 0.000000, 0.000000, 1.000000
Hewitt, 0.022222, 0.355556, 0.622222
Berrer, 0.333333, 0.066667, 0.600000
Roger-Vasselin, 0.192308, 0.153846, 0.653846
Carreno-Busta, 0.690476, 0.000000, 0.309524
Cervantes, 0.733333, 0.000000, 0.266667
Krajinovic, 0.375000, 0.000000, 0.625000
Monaco, 0.703704, 0.049383, 0.246914
Becker, 0.090909, 0.218182, 0.690909
Smith, 0.000000, 0.800000, 0.200000
Ito, 0.125000, 0.312500, 0.562500
